Type,YEAR,UniqueID,Fate,COX_TIME,annual_prec_30year,CORE_AREA,Shrub_10M,ARTR_10M,Shrub_H_10M,ARTR_H_10M,VO,AnGrass_10M,PerGrass_10M,ResGrass_10M,FoodF_10M,NFoodF_10M,Bground_10M,Cactus_10M,BioCrust_10M,Rock_10M,Litter_10M,PerGrass_H_10M,ResGrass_H_10M,Shrub_5m,Artr_5m,Shrub_1m,Artr_1m,AnGrass_1M,PerGrass_1M,ResGrass_ 1M,FoodF_1M,NFoodF_1M,BGround_1M,Cactus_1M,BioCrust_1M,Rock_1M,Litter_1M,AnGrass_3M,PerGrass_3M,ResGrass_3M,FoodF_3M,NFoodF_3M,Bground_3M,Cactus_3M,BioCrust_3M,Rock_3M,Litter_3M,Gap_0.5M,Gap_1M,Gap_2M,Gap_3M,
Nest,2013,497,hatch,20,363.4899902,YES,15.35,15.35,43,43,30,4.172222222,10.49444444,10.43888889,6.705555556,9.083333333,8.933333333,0.338888889,2.072222222,7.916666667,54.77222222,32.375,18.125,20.9,20.9,43,43,7.51,12.15,4.95,11.24,15.13,4.84,0.61,3.12,10.52,53.05,0,8.425,17.3,1.0375,1.525,14.05,0,0.7625,4.6625,56.925,5,4,2,2,
Nest,2013,498,hatch,21,294.6600037,YES,40.75,40.75,59.16666667,59.16666667,48.75,3.344444444,23.42777778,11.6,2.75,6.183333333,38.49444444,0,4.572222222,8.211111111,42.60555556,32,21.88888889,42,42,61.75,61.75,0,31.65,14.25,3.73,8.12,47.55,0,0.72,1.55,43.05,7.525,13.15,8.2875,1.525,3.7625,27.175,0,9.3875,16.5375,42.05,8,4,2,0,
Nest,2013,499,fail,11,521.3200073,YES,25.75,25.25,36.47058824,39,26.25,1.016666667,16.93888889,9.483333333,1.2,0.061111111,23.21111111,0,0.461111111,5.65,30.43888889,34.77777778,27.22222222,25.1,25.1,46.25,46.25,0,23.25,15.74,1.94,0,26.15,0,0.61,9.34,19.25,2.2875,9.05,1.6625,0.275,0.1375,19.5375,0,0.275,1.0375,44.425,7,4,1,0,
Nest,2013,500,fail,13,294.6600037,YES,20.9,20.9,53.125,53.125,40,1.672222222,11.93888889,4.483333333,6.583333333,10.41666667,21.26666667,0,8.622222222,3.683333333,42.99444444,28.22222222,13,22.8,22.8,46.5,46.5,3.01,9.75,4.23,3.01,18.03,19.14,0,12.51,3.01,46.15,0,14.675,4.8,11.05,0.9,23.925,0,3.7625,4.525,39.05,5,5,4,1,
Nest,2013,501,hatch,28,285.3699951,YES,27.7,14.55,46.90909091,38.22222222,52.5,0.338888889,9.1,6.155555556,16.25,1.016666667,26.20555556,0,1.016666667,1.794444444,37.37777778,26.125,20.25,36,9.7,72.75,9.25,0.61,7.35,6.85,18.12,0.61,37.53,0,1.22,3.12,33.64,0,11.2875,5.2875,13.9125,1.525,12.05,0,0.7625,0.1375,42.05,5,2,1,1,
Nest,2013,502,fail,16,328.0899963,NO,28,25.5,60.16666667,64,28.75,2.072222222,20.87777778,5.1,2.011111111,2.011111111,17.93333333,0,5.188888889,5.188888889,37.05,53,31.22222222,34.2,34.2,58.75,58.75,3.01,21.04,4.84,3.62,3.62,18.75,0,8.12,8.12,40.65,0.9,20.675,5.425,0,0,16.9125,0,1.525,1.525,32.55,5,3,3,1,
Nest,2013,503,fail,10,388.7099915,YES,18.05,18.05,53.28571429,53.28571429,12.5,4.172222222,9.377777778,5.1,1.855555556,2.011111111,32.38333333,0.338888889,1.077777778,4.483333333,38.38333333,36.375,21.625,15.4,15.4,32.25,32.25,0,12.65,4.95,0.22,3.01,35.15,0,0.72,6.63,28.55,9.3875,5.2875,5.2875,3.9,0.7625,28.925,0.7625,1.525,1.8,50.675,3,3,2,0,
Nest,2013,504,hatch,27,291.4899902,NO,25,22.65,33.69230769,36.90909091,16.25,0,20.98888889,4.822222222,4.422222222,0.122222222,13.59444444,0,0.338888889,8.744444444,53.43888889,23.22222222,16.33333333,26.8,26.8,40.75,40.75,0,13.64,4.34,6.02,0,8.84,0,0.61,12.62,50.65,0,30.175,5.425,2.425,0.275,19.5375,0,0,3.9,56.925,8,5,2,1,
Nest,2013,505,hatch,25,502.4100037,NO,29.45,29.45,47.3,47.3,16.25,0,21.70555556,5.538888889,5.694444444,8.961111111,22.92222222,0,4.361111111,12.26111111,46.71666667,48.11111111,32.66666667,32.1,32.1,56,56,0,25.54,9.14,6.02,16.13,12.62,0,7.24,13.23,53.05,0,16.9125,1.0375,5.2875,0,35.8,0,0.7625,11.05,38.8,7,6,1,0,
Nest,2013,506,fail,16,267.7099915,NO,38.15,31.1,52.20689655,61.13636364,37.5,0.061111111,19.65555556,8.255555556,9.638888889,0,17.64444444,0,0.461111111,2.072222222,65.99444444,42.5,7.5,42.4,37.7,62.25,60,0.11,30.54,13.53,16.13,0,18.53,0,0.22,3.01,70.65,0,6.05,1.6625,1.525,0,16.5375,0,0.7625,0.9,60.175,10,4,0,0,
